CLML;Cuiseur2PMP_J;Cuiseur2PSF_J;Cuiseur2Ratio_MP_J;Cuiseur2Ratio_PSF_J;Cuiseur2Tonne_J
23/07/2022 00:00:00;68.87100000000001;31.425;0.5924119005096483;1.2983293556085918;43.9
24/07/2022 00:00:00;6.407;2.645;0.09364757296706727;0.22684310018903592;0.6
25/07/2022 00:00:00;45.238;21.164;0.8496732026143791;1.8329221008107155;28.4
26/07/2022 00:00:00;64.335;27.552000000000003;0.6620776627607587;1.5034005488605178;42
27/07/2022 00:00:00;58.278999999999996;23.339000000000002;0.5708183671488205;1.4225116757358927;35.9
28/07/2022 00:00:00;78.31400000000002;34.117;0.543964042189136;1.248644370841516;43.1
29/07/2022 00:00:00;65.443;29.378;0.6373056994818654;1.408205841446453;43.9
30/07/2022 00:00:00;59.866;26.022000000000002;0.5412086994287242;1.2451002997463683;35.6
31/07/2022 00:00:00;18.95;9.334;0.44854881266490765;0.9106492393400472;8.5
01/08/2022 00:00:00;45.535;18.711;0.6941999094521858;1.851603381188783;33
02/08/2022 00:00:00;25.459;11.876000000000001;0.5027691582544483;1.0778039744021555;44.8
03/08/2022 00:00:00;25.459;11.876000000000001;0.5027691582544483;1.0778039744021555;47.3
04/08/2022 00:00:00;1221.7040000000018;521.0449999999995;2.380952380952381;6.828851899274435;38.7
05/08/2022 00:00:00;461.0629999999996;203.08100000000007;0.14420765902900176;0.3440366972477064;46
06/08/2022 00:00:00;635.4810000000003;274.21599999999984;0.6023470765396198;1.3779995248277501;42
07/08/2022 00:00:00;507.8869999999994;223.04799999999986;0.47354487490212155;1.0249374546041479;12.7
08/08/2022 00:00:00;1640.2109999999973;728.5590000000024;0.6773101112723755;1.784955376115597;33.8
09/08/2022 00:00:00;761.9489999999995;352.39700000000045;0.35410231296617195;0.7687275106313379;40.6
10/08/2022 00:00:00;192.45900000000006;84.52099999999997;6.213651668197123;13.975903614457833;40.8
11/08/2022 00:00:00;819.5379999999986;366.719999999999;0.4861005620537749;1.0865874363327674;52
12/08/2022 00:00:00;2787.6280000000056;1289.7120000000084;0.026207992167620233;0.056356490802968305;53.2
13/08/2022 00:00:00;581.1400000000002;283.50299999999964;0.5211726384364821;1.152757179452609;32.1
14/08/2022 00:00:00;1114.5240000000026;318.87799999999993;0.6129120130754563;1.5326975476839237;6.7
15/08/2022 00:00:00;58.97500000000001;27.233999999999995;0.6495987772258311;1.4214046822742477;28.8
16/08/2022 00:00:00;17182.394000000964;8028.641999999569;0.362570392656021;0.7589213628290006;44
17/08/2022 00:00:00;17213.834000000967;8041.95199999957;2.0801270912972245;4.596314172882844;41.9
18/08/2022 00:00:00;399.9980000000001;206.26799999999992;1.92722371967655;3.7424757916775713;42.7
19/08/2022 00:00:00;2024.3290000000102;1031.496000000006;3.6363636363636362;7.133995037220843;43.4
20/08/2022 00:00:00;2024.3290000000102;1031.496000000006;3.6363636363636362;7.133995037220843;34.8
21/08/2022 00:00:00;2024.3290000000102;1031.496000000006;3.6363636363636362;7.133995037220843;1.7
22/08/2022 00:00:00;97.55199999999999;36.98199999999999;1.1954096270321963;2.579092159559835;27.9
23/08/2022 00:00:00;99.945;48.739;0.508567404741413;1.024751694781649;46.4
