Temps;Co-Produit;LPlume;LSang;LV_Cuiseur_1;LV_Cuiseur_2;LV_Cuiseur_3
14/07/2022;159.6;27.1;23.9;29.8;34.9;43.9
15/07/2022;183.6;34.4;21.7;38;32.1;50.5
16/07/2022;136.6;16.6;4.1;30.5;null;39.4
17/07/2022;12.6;4.2;1.7;2.2;null;2.5
18/07/2022;160.3;28.9;5.9;32.7;null;37
20/07/2022;164.2;25.9;23.9;32.8;38.8;42.8
21/07/2022;183.4;31.4;23.5;37.9;43.1;47.3
22/07/2022;170.4;31.8;23.4;31.7;40;43.5
23/07/2022;163.7;22.6;22.8;37.2;43.9;37.2
24/07/2022;7.2;2;2.1;null;0.6;2.5
25/07/2022;107.4;20.8;19.1;21.1;28.4;18.2
26/07/2022;164.5;26.3;24.4;31.5;42;40.1
27/07/2022;170.2;29.7;23.8;37.6;35.9;43.3
28/07/2022;182.4;28.5;24;40.9;43.1;46.1
29/07/2022;179.5;30.4;24.1;34.9;43.9;46.3
30/07/2022;147.6;20.9;19.6;32.7;35.6;38.8
31/07/2022;36.6;7.2;4.7;8;8.5;8.1
01/08/2022;141.3;22.9;21.6;30.3;33;33.5
02/08/2022;189.1;31.1;25.5;37.4;44.8;50.4
03/08/2022;185.4;29.1;22.6;38.6;47.3;47.8
04/08/2022;170.5;29.5;24.5;39.1;38.7;38.8
05/08/2022;178.4;32.6;20.4;40.4;46;39
06/08/2022;161.3;17.3;22;35.1;42;45.1
07/08/2022;51.9;6.6;6.4;11.1;12.7;15.1
08/08/2022;143.9;30.1;20.2;21.2;33.8;38.7
09/08/2022;173.8;31.4;24.2;37.2;40.6;40.3
10/08/2022;170.4;33.3;21.8;34.9;40.8;39.4
11/08/2022;185.7;26.6;23.5;39.4;52;44.2
12/08/2022;186.4;32.8;22.6;40.4;53.2;37.5
13/08/2022;118.9;16.8;16.2;23.5;32.1;30.4
14/08/2022;20.4;2.9;2.5;4.1;6.7;4.2
15/08/2022;139.3;26.3;22.8;32.2;28.8;29.1
16/08/2022;170.4;27.6;23.3;33.4;44;42.2
17/08/2022;178.4;24.9;22.6;38;41.9;50.8
18/08/2022;179.6;29.6;22.6;39.5;42.7;45.3
19/08/2022;168;24.1;22.3;29.6;43.4;48.6
20/08/2022;148.3;22.3;19.9;32.3;34.8;39.1
21/08/2022;15.8;3;3.7;3.7;1.7;3.5
22/08/2022;138.2;23.9;20.2;27.8;27.9;38.5
